ID,default.payment.next.month,SEX,EDUCATION,MARRIAGE,AGE,LIMIT_BAL,PAY_1,PAY_3,PAY_5,BILL_AMT1,BILL_AMT3,BILL_AMT5,PAY_AMT1,PAY_AMT3,PAY_AMT5
0,1,Female,University,1,24,20000.0,2,-1,-2,3913.0,689.0,0.0,0.0,0.0,0.0
1,1,Female,University,0,26,120000.0,-1,0,0,2682.0,2682.0,3455.0,0.0,1000.0,0.0
2,0,Female,University,0,34,90000.0,0,0,0,29239.0,13559.0,14948.0,1518.0,1000.0,1000.0
3,0,Female,University,1,37,50000.0,0,0,0,46990.0,49291.0,28959.0,2000.0,1200.0,1069.0
4,0,Male,University,1,57,50000.0,-1,-1,0,8617.0,35835.0,19146.0,2000.0,10000.0,689.0
5,0,Male,Graduate School,0,37,50000.0,0,0,0,64400.0,57608.0,19619.0,2500.0,657.0,1000.0
6,0,Male,Graduate School,0,29,500000.0,0,0,0,367965.0,445007.0,483003.0,55000.0,38000.0,13750.0
7,0,Female,University,0,23,100000.0,0,-1,0,11876.0,601.0,-159.0,380.0,0.0,1687.0
8,0,Female,High School,1,28,140000.0,0,2,0,11285.0,12108.0,11793.0,3329.0,432.0,1000.0
9,0,Male,High School,0,35,20000.0,-2,-2,-1,0.0,0.0,13007.0,0.0,0.0,1122.0
10,0,Female,High School,0,34,200000.0,0,2,0,11073.0,5535.0,1828.0,2306.0,50.0,3738.0
11,0,Female,Graduate School,0,51,260000.0,-1,-1,-1,12261.0,9966.0,22287.0,21818.0,8583.0,0.0
12,0,Female,University,0,41,630000.0,-1,-1,-1,12137.0,6500.0,6500.0,1000.0,6500.0,2870.0
13,1,Male,University,0,30,70000.0,1,2,0,65802.0,65701.0,36137.0,3200.0,3000.0,1500.0
14,0,Male,Graduate School,0,29,250000.0,0,0,0,70887.0,63561.0,56875.0,3000.0,3000.0,3000.0
15,0,Female,High School,0,23,50000.0,1,0,0,50614.0,28116.0,29531.0,0.0,1100.0,1300.0
16,1,Male,Graduate School,0,24,20000.0,0,2,2,15376.0,17428.0,17905.0,3200.0,1500.0,1650.0
17,0,Male,Graduate School,1,49,320000.0,0,0,-1,253286.0,194663.0,5856.0,10358.0,75940.0,195599.0
18,0,Female,Graduate School,1,49,360000.0,1,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0
19,0,Female,Graduate School,0,29,180000.0,1,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0
20,0,Female,High School,0,39,130000.0,0,0,0,38358.0,24489.0,11802.0,3000.0,1000.0,930.0
21,1,Female,University,1,39,120000.0,-1,-1,-1,316.0,316.0,632.0,316.0,0.0,316.0
22,1,Female,University,0,26,70000.0,2,0,2,41087.0,45020.0,46905.0,2007.0,0.0,0.0
23,1,Female,Graduate School,1,40,450000.0,-2,-2,-2,5512.0,1473.0,0.0,19428.0,560.0,0.0
24,0,Male,Graduate School,0,23,90000.0,0,0,0,4744.0,0.0,6360.0,5757.0,5398.0,2045.0
25,0,Male,High School,0,23,50000.0,0,0,0,47620.0,36023.0,29829.0,1973.0,1001.0,1062.0
26,1,Male,Graduate School,0,27,60000.0,1,-1,-1,-109.0,259.0,127.0,0.0,0.0,0.0
27,0,Female,High School,0,30,50000.0,0,0,0,22541.0,17163.0,18931.0,1300.0,1000.0,1000.0
28,0,Female,High School,1,47,50000.0,-1,-1,-1,650.0,3416.0,30430.0,3415.0,2044.0,257.0
29,0,Male,Graduate School,0,26,50000.0,0,0,0,15329.0,17496.0,18375.0,1500.0,1000.0,1600.0
30,0,Female,Graduate School,0,27,230000.0,-1,-1,-1,16646.0,13266.0,14307.0,17270.0,15339.0,37292.0
31,1,Male,University,0,33,50000.0,2,0,0,30518.0,22102.0,23217.0,1718.0,1000.0,1000.0
32,0,Male,Graduate School,0,32,100000.0,0,0,0,93036.0,82880.0,78703.0,3023.0,3302.0,3200.0
33,0,Female,University,1,54,500000.0,-2,-2,-2,10929.0,22722.0,71439.0,4152.0,7521.0,981.0
34,0,Male,Graduate School,1,58,500000.0,-2,-2,-2,13709.0,31130.0,0.0,5006.0,3180.0,5293.0
35,0,Male,Graduate School,0,30,160000.0,-1,-2,-2,30265.0,-527.0,-1488.0,131.0,396.0,792.0
36,0,Male,University,1,40,280000.0,0,0,0,186503.0,180422.0,173901.0,8026.0,6300.0,6400.0
37,0,Female,University,0,22,60000.0,0,0,0,15054.0,11068.0,-28335.0,1500.0,2043.0,47671.0
38,1,Male,Graduate School,0,25,50000.0,1,-1,-2,0.0,0.0,0.0,780.0,0.0,0.0
39,0,Male,Graduate School,0,31,280000.0,-1,2,0,498.0,4641.0,17976.0,9075.0,9976.0,9525.0
40,0,Male,Graduate School,0,33,360000.0,0,0,0,218668.0,206895.0,195969.0,10000.0,6000.0,28000.0
41,0,Female,Graduate School,0,25,70000.0,0,0,0,67521.0,63949.0,64718.0,3000.0,4042.0,2800.0
42,0,Male,University,0,22,10000.0,0,0,0,1877.0,6003.0,3670.0,1500.0,1000.0,1000.0
43,0,Female,University,1,37,140000.0,0,0,0,59504.0,62925.0,67079.0,3000.0,3000.0,4000.0
44,0,Female,Graduate School,0,30,40000.0,0,0,0,18927.0,25921.0,26636.0,3000.0,0.0,3000.0
45,1,Male,Graduate School,0,29,210000.0,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0
46,1,Female,Graduate School,0,22,20000.0,0,2,0,14028.0,15800.0,16675.0,3000.0,16741.0,0.0
47,1,Female,Unknown,0,46,150000.0,0,-1,0,4463.0,1170.0,0.0,1013.0,0.0,0.0
48,0,Male,University,0,32,380000.0,-1,-1,-1,22401.0,15134.0,11849.0,21540.0,24677.0,11875.0
49,0,Male,Graduate School,0,24,20000.0,0,0,0,17447.0,19476.0,20480.0,1318.0,704.0,912.0
50,1,Male,High School,0,42,70000.0,1,2,2,37042.0,38355.0,38659.0,0.0,2000.0,1500.0
51,0,Female,High School,0,43,100000.0,0,0,0,61559.0,43824.0,35762.0,2000.0,1500.0,1500.0
52,0,Female,University,1,49,310000.0,-2,-2,-2,13465.0,7600.0,3544.0,7875.0,11185.0,464.0
53,0,Female,Graduate School,0,25,180000.0,1,0,0,41402.0,42758.0,44420.0,1300.0,1762.0,1790.0
54,0,Female,Graduate School,0,29,150000.0,2,0,0,46224.0,31434.0,21042.0,1600.0,1049.0,2000.0
55,0,Female,Graduate School,1,45,500000.0,-2,-2,-2,1905.0,162.0,151.0,3640.0,0.0,2530.0
56,0,Female,High School,1,34,180000.0,0,0,-1,16386.0,8441.0,-679.0,8500.0,7500.0,9000.0
57,0,Female,University,1,34,180000.0,0,0,0,175886.0,172308.0,132202.0,8083.0,5253.0,4816.0
58,0,Female,Graduate School,0,34,200000.0,-1,2,2,1587.0,782.0,700.0,0.0,700.0,1200.0
59,0,Female,University,1,29,400000.0,0,0,0,400134.0,404205.0,356656.0,17000.0,30000.0,12000.0
60,1,Female,High School,1,28,500000.0,0,0,0,22848.0,18878.0,13827.0,1516.0,1000.0,2000.0
61,0,Male,University,1,39,70000.0,0,0,0,70800.0,69938.0,14096.0,4025.0,1000.0,3000.0
62,1,Male,Graduate School,0,29,50000.0,2,2,2,24987.0,26591.0,27667.0,0.0,0.0,1200.0
63,1,Female,University,1,46,50000.0,0,0,-2,28718.0,0.0,0.0,1000.0,0.0,0.0
64,0,Female,University,1,51,130000.0,-1,-2,-1,99.0,0.0,2353.0,0.0,0.0,0.0
65,1,Male,Graduate School,1,57,200000.0,-2,-2,2,152519.0,144076.0,8198.0,0.0,8222.0,0.0
66,1,Male,University,1,56,10000.0,2,2,0,2097.0,3978.0,4196.0,2300.0,150.0,200.0
67,0,Female,Graduate School,0,30,210000.0,2,-1,-1,300.0,1159.0,300.0,300.0,2280.0,4250.0
68,0,Female,High School,0,29,130000.0,1,-2,2,-190.0,-9850.0,10161.0,0.0,20161.0,7319.0
69,0,Male,Unknown,0,22,20000.0,2,0,0,18565.0,17285.0,11205.0,0.0,1000.0,1000.0
70,0,Male,Graduate School,0,31,80000.0,-1,-1,-1,780.0,390.0,390.0,0.0,390.0,390.0
71,1,Male,University,0,29,320000.0,2,2,2,58267.0,60184.0,62307.0,2500.0,0.0,2400.0
72,0,Female,University,1,32,200000.0,-1,-1,2,9076.0,-684.0,3848.0,5818.0,9102.0,3165.0
73,0,Female,Graduate School,0,37,290000.0,1,-1,-1,0.0,3155.0,2359.0,0.0,0.0,0.0
74,0,Male,Graduate School,0,32,340000.0,-1,-1,-1,3048.0,23337.0,80153.0,5713.0,4314.0,25949.0
75,0,Male,University,0,24,20000.0,0,2,0,14619.0,16642.0,17332.0,2850.0,610.0,1500.0
76,0,Male,High School,0,25,50000.0,-1,0,0,42838.0,36087.0,9590.0,1759.0,320.0,1000.0
77,0,Female,Graduate School,1,45,300000.0,-1,-1,-1,291.0,291.0,291.0,291.0,291.0,291.0
78,1,Female,University,0,22,30000.0,0,0,0,28387.0,30326.0,26446.0,1686.0,560.0,1765.0
79,1,Female,University,0,44,240000.0,1,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0
80,0,Female,High School,0,33,470000.0,0,0,0,165254.0,162702.0,29271.0,6400.0,3000.0,1000.0
81,0,Female,Graduate School,0,26,360000.0,0,0,0,23411.0,30400.0,180000.0,4796.0,3100.0,196.0
82,1,Male,High School,0,30,60000.0,0,0,0,26324.0,28108.0,19899.0,1576.0,648.0,1140.0
83,0,Female,University,1,44,400000.0,0,2,0,131595.0,126819.0,104990.0,10700.0,3050.0,3200.0
84,0,Female,High School,0,49,50000.0,0,0,0,48909.0,21489.0,19342.0,1676.0,700.0,849.0
85,0,Male,University,0,33,160000.0,0,0,0,130028.0,71934.0,118407.0,4400.0,80000.0,4800.0
86,1,Female,Graduate School,1,45,360000.0,-1,2,-1,390.0,780.0,390.0,1170.0,0.0,390.0
87,0,Female,University,0,32,160000.0,0,0,0,3826.0,6604.0,7072.0,1147.0,2000.0,766.0
88,0,Female,Graduate School,1,35,130000.0,0,0,-1,81313.0,17740.0,7095.0,40000.0,1330.0,1190.0
89,0,Male,High School,0,44,20000.0,2,0,0,8583.0,9651.0,12314.0,0.0,1000.0,0.0
90,1,Male,Graduate School,1,53,200000.0,2,2,2,138180.0,142460.0,147124.0,6300.0,5500.0,5000.0
